words|counts
philosophy|1
helpe|12
mercy|5
odde|2
heereafter|1
anticke|2
seeing|4
encombred|1
pronouncing|1
doubtfull|2
ambiguous|1
neede|3
rest|14
perturbed|1
expresse|3
friending|1
willing|2
lacke|5
fingers|4
lippes|1
spight|1
secundus|1
reynoldo|4
money|1
notes|1
reynol|13
maruels|1
wisely|2
visite|1
inquiry|1
behauiour|1
intend|1
enquire|1
danskers|1
paris|1
company|1
expence|1
finding|2
encompassement|1
drift|4
neerer|3
demands|2
touch|7
distant|1
knowledge|1
hees|1
wilde|2
addicted|1
forgeries|1
ranke|6
dishonour|2
heed|1
wanton|3
vsuall|1
slips|1
companions|1
noted|1
liberty|4
gaming|3
drinking|1
fencing|1
swearing|2
quarelling|1
drabbing|1
another|8
scandall|1
incontinencie|1
meaning|1
faults|3
quaintly|1
taints|1
flash|1
fiery|2
sauagenes|1
vnreclaim|1
generall|6
assault|1
belieue|1
fetch|2
laying|2
slight|1
sulleyes|1
soil|1
working|2
party|1
conuerse|1
hauing|2
prenominate|1
assur|2
closes|4
consequence|4
gentleman|9
according|2
addition|1
country|2
yesterday|1
tother|1
retooke|1
tennis|1
videlicet|1
brothell|1
bait|1
falshood|1
cape|1
reach|1
windlesses|1
assaies|1
bias|1
indirections|1
directions|1
former|2
lecture|1
obserue|3
inclination|2
plye|1
musicke|7
affrighted|1
sowing|1
chamber|4
doublet|1
vnbrac|1
hat|2
stockings|1
foul|1
vngartred|1
giued|1
anckle|1
shirt|1
knees|2
knocking|1
pitious|1
purport|1
loosed|1
horrors|1
mad|21
tooke|5
wrist|1
arme|5
fals|2
perusall|1
shaking|1
wauing|1
rais|1
sigh|2
pittious|1
profound|2
shatter|1
ouer|8
shoulders|1
turn|5
seem|2
adores|1
bended|1
extasie|4
violent|4
property|3
foredoes|1
leads|1
vndertakings|1
passion|11
afflict|1
natures|2
sorrie|2
repell|1
letters|7
deny|3
de|2
accesse|1
quoted|1
trifle|1
meant|4
wracke|1
beshrew|1
iealousie|2
proper|2
age|8
opinions|2
yonger|1
sort|2
close|3
moue|6
hide|4
hate|1
vtter|1
rosincrane|3
guildensterne|17
cum|1
alijs|1
rosincrance|11
moreouer|1
prouoke|1
hastie|1
sending|2
hamlets|7
transformation|1
since|15
exterior|1
resembles|1
deeme|1
intreat|2
brought|5
neighbour|1
humour|1
vouchsafe|3
companies|1
pleasures|2
gather|3
occasions|2
gleane|1
remedie|1
talk|1
liuing|2
adheres|1
gentrie|1
expend|1
supply|1
profit|2
hope|7
visitation|3
receiue|7
rosin|43
maiesties|2
soueraigne|3
entreatie|1
guil|10
bent|3
seruices|1
feete|1
commanded|1
instantly|1
changed|1
practises|1
pleasant|1
helpfull|1
amen|1
ambassadors|3
ioyfully|1
assure|1
liege|3
dutie|5
hunts|1
traile|2
policie|1
found|5
cause|13
lunacie|1
admittance|1
feast|3
tels|1
sonnes|2
distemper|4
hasty|1
voltumand|2
sift|1
frends|1
greetings|1
preparation|1
poleak|2
highnesse|1
whereat|1
greeued|1
sicknesse|2
impotence|1
falsely|1
sends|3
arrests|1
breefe|3
obeyes|1
receiues|1
rebuke|1
fine|9
assay|3
maiestie|7
whereon|5
ouercome|1
three|9
thousand|8
crownes|1
annuall|1
commission|5
imploy|1
leuied|1
intreaty|1
shewne|1
passe|5
dominions|1
regards|1
allowance|2
therein|1
likes|3
consider|3
read|3
thanke|7
labour|2
home|6
ambass|1
ended|1
expostulate|1
waste|2
breuitie|1
tediousnesse|1
limbes|2
outward|3
flourishes|1
define|1
pittie|2
foolish|3
grant|1
remaines|3
rather|4
defect|1
defectiue|1
remainder|1
perpend|1
whil|3
obedience|2
surmise|1
letter|3
idoll|1
beautifed|1
ill|6
vilde|5
beautified|1
white|4
awhile|4
faithfull|3
sunne|3
lier|1
numbers|1
reckon|1
grones|1
adieu|1
euermore|1
lady|10
machine|1
soliciting|1
receiu|3
wold|1
faine|3
proue|3
wing|1
